p_warn;dens;dscr;val
0;sim_30;sum_newip;4852
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4599
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4765
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4872
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4677
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4664
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4691
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4676
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4794
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4694
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4811
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4735
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4699
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4745
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4786
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4841
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4901
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4639
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4692
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4729
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4905
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4807
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4633
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4802
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
25;sim_30;sum_newip;3448
25;sim_30;sum_trltls;858
25;sim_30;ticks;365
25;sim_30;sum_newip;3281
25;sim_30;sum_trltls;858
25;sim_30;ticks;365
25;sim_30;sum_newip;3248
25;sim_30;sum_trltls;858
25;sim_30;ticks;365
25;sim_30;sum_newip;3571
25;sim_30;sum_trltls;858
25;sim_30;ticks;365
25;sim_30;sum_newip;3372
25;sim_30;sum_trltls;858
25;sim_30;ticks;365
25;sim_30;sum_newip;3380
25;sim_30;sum_trltls;858
25;sim_30;ticks;365
25;sim_30;sum_newip;3435
25;sim_30;sum_trltls;858
25;sim_30;ticks;365
25;sim_30;sum_newip;3378
25;sim_30;sum_trltls;858
25;sim_30;ticks;365
25;sim_30;sum_newip;3126
25;sim_30;sum_trltls;858
25;sim_30;ticks;365
25;sim_30;sum_newip;3365
25;sim_30;sum_trltls;858
25;sim_30;ticks;365
25;sim_30;sum_newip;3347
25;sim_30;sum_trltls;858
25;sim_30;ticks;365
25;sim_30;sum_newip;3436
25;sim_30;sum_trltls;858
